CUSTOMER_ID,LOYALTY_SEGMENT,CHEFS_TABLE,AGE, INCOME ,GENDER,ZIP_CODE,DMA,GEOGRAPHY,ACQUIRED_DATE,12 Mo. DELIVERY_FEE_PAID,12 Mo. DELIVERYPASS_USED,12 Mo. DISCOUNT_AMOUNT,12 Mo. Orders,12 Mo. ORDERS_W_PROMO,12_Mo_Sales,24 Mo. DELIVERY_FEE_PAID,24 Mo. DELIVERYPASS_USED,24 Mo. DISCOUNT_AMOUNT,24 Mo. Orders,24 Mo. Orders w. Promo,24 Mo. Sales, SUNDAY ORDERS 12 MO.,MONDAY ORDERS 12 MO.,TUESDAY ORDERS 12 MO.,WEDNESDAY ORDERS 12 MO.,THURSDAY ORDERS 12 MO.,FRIDAY ORDERS 12 MO.,SATURDAY ORDERS 12 MO.,AlcoholicBeverages,BabyBoutique,Bakery,Bread,Catering,Dairy,DeliandCheese,Floral,Freezer,Grocery,HealthandBeautyAids,HouseholdEssentials,Kitchen,MealKit,Meat,NonalcoholicBeverages,PetShop,Poultry,Produce,Seafood,Snacks
11353971336,3. Every Three Week Shoppers,0,36,250000,F,10028,NY-NJ,Manhattan,7/10/2012 0:00,19.97,14,92.52,29,15,2473,37.94,31,251.65,50,23,3971,7,4,8,1,6,1,2,0,0,0,0.04,0,0.27,0.17,0,0.05,0.1,0,0.01,0,0,0.07,0.04,0,0.04,0.14,0.05,0.02
10171993128,3. Every Three Week Shoppers,1,29,300000,F,10028,NY-NJ,Manhattan,1/28/2012 0:00,112.83,0,2.01,17,2,2484,220.65,0,2.01,35,2,4599,3,3,2,3, -   ,3,3,0,0,0,0.01,0,0.21,0,0,0.02,0.12,0,0,0,0,0.01,0.02,0,0.08,0.49,0,0.04
119115998,3. Every Three Week Shoppers,0,41,75000,M,10003,NY-NJ,Manhattan,6/26/2004 0:00,0,20,0.03,21,3,2501,29.95,44,9.03,49,5,5839,2,4,2, -   ,2,9,1,0.02,0,0,0.02,0,0.12,0.12,0,0,0.08,0,0,0.19,0,0.04,0.08,0,0.04,0.19,0.05,0.05
10729025660,3. Every Three Week Shoppers,1,56,175000,F,10019,NY-NJ,Manhattan,11/24/2012 0:00,7.98,26,69.96,31,9,2504,7.98,47,69.97,50,10,4486,4,5,8,2,3,3,4,0.36,0,0.01,0,0,0.03,0.05,0,0.01,0.02,0,0,0.18,0,0,0.1,0,0.03,0.08,0.13,0.01
12892576611,3. Every Three Week Shoppers,0,45,150000,F,11217,NY-NJ,Brooklyn,1/21/2013 0:00,0,32,55.52,34,12,2504,0,67,83.38,67,19,5394,1,2,3,16,3,5,2,0,0,0,0,0,0.06,0,0,0.06,0,0,0,0.47,0,0,0,0,0.36,0.02,0,0.03
10034880212,3. Every Three Week Shoppers,1,38,100000,M,11215,NY-NJ,Brooklyn,1/10/2012 0:00,90.86,0,5.01,14,2,2506,234.62,0,5.09,38,7,6336, -   , -   , -   , -   , -   ,12,2,0.23,0,0.01,0.03,0,0.09,0.01,0,0.12,0.06,0.04,0.03,0,0,0,0.28,0.02,0,0.02,0,0.04
10568473116,3. Every Three Week Shoppers,0,37,-1,F,10065,NY-NJ,Manhattan,5/11/2012 0:00,0,23,98.01,25,14,2523,0,0,11.98,2,30,170,1, -   ,9,3,2,7,1,0.45,0.03,0,0.01,0,0.1,0.01,0,0.05,0.06,0,0,0.03,0,0.01,0.03,0,0.02,0.16,0,0.05
126000666,3. Every Three Week Shoppers,1,69,20000,F,10026,NY-NJ,Manhattan,10/13/2004 0:00,0,34,15.01,36,5,2523,0,69,26.71,69,11,4972,9,4,1,1,5,9,5,0.18,0,0.01,0.03,0.03,0.14,0.06,0,0.03,0.09,0,0,0.04,0,0.04,0.05,0,0.05,0.19,0.02,0.04
11115737417,3. Every Three Week Shoppers,0,32,100000,F,10011,NY-NJ,Manhattan,6/1/2012 0:00,68.9,0,121.50,24,16,2532,170.73,0,244.97,56,36,5263,4,1,5,5,5,1,2,0,0,0,0.01,0,0.25,0.01,0,0.05,0.19,0.01,0.05,0,0,0,0.06,0,0,0.3,0,0.07
10688321786,3. Every Three Week Shoppers,0,58,300000,M,10016,NY-NJ,Manhattan,7/2/2012 0:00,141.79,0,0.01,21,1,2534,321.49,0,0.06,51,6,6577,2,5,2,2,3,4,3,0,0,0,0,0,0.21,0.19,0,0.01,0.08,0.03,0.08,0,0,0.01,0.08,0,0.05,0.16,0,0.09
11601849482,3. Every Three Week Shoppers,0,68,100000,F,11217,NY-NJ,Brooklyn,8/10/2012 0:00,94.86,0,101.89,26,16,2535,208.67,0,131.88,50,25,5250,13,1, -   ,1,4,2,5,0,0,0,0.04,0,0.01,0,0,0.2,0.05,0,0.03,0.16,0,0,0.36,0,0,0.02,0,0.16
12101426469,3. Every Three Week Shoppers,0,35,150000,F,11101,NY-NJ,Queens,10/19/2012 0:00,46.93,6,116.43,22,16,2545,52.92,6,142.19,25,24,2953,6,2,1,2,4,5,2,0.26,0,0.01,0.01,0,0.04,0.17,0.01,0.01,0.04,0.01,0,0,0,0.12,0.07,0,0.01,0.13,0.1,0.01
100414381,3. Every Three Week Shoppers,1,38,100000,M,10011,NY-NJ,Manhattan,4/5/2004 0:00,6.99,28,5.05,30,5,2550,6.99,53,6.76,54,8,4582,9,4,5,5,1,1,4,0,0,0,0.01,0,0.14,0.03,0,0,0.1,0,0.03,0.12,0,0,0.07,0,0.14,0.31,0.05,0
10371119303,3. Every Three Week Shoppers,0,41,100000,M,10010,NY-NJ,Manhattan,2/23/2012 0:00,26.96,0,133.12,21,19,2568,62.9,0,219.05,38,33,4818,5,2,1,1,4,8, -   ,0.02,0,0.01,0.01,0,0.09,0.05,0,0.08,0.22,0,0.01,0.12,0,0.03,0.2,0,0.01,0.08,0,0.07
1078352583,3. Every Three Week Shoppers,0,60,200000,F,11201,NY-NJ,Brooklyn,5/2/2006 0:00,86.87,0,5.99,14,1,2581,170.73,0,15.66,28,5,5280,6,1,1, -   ,2,1,3,0.03,0,0.05,0.01,0,0.13,0.09,0,0.03,0.13,0.01,0.06,0.02,0,0.08,0.04,0,0.05,0.19,0.06,0.03
128245684,3. Every Three Week Shoppers,0,46,150000,M,11201,NY-NJ,Brooklyn,8/14/2004 0:00,138.79,0,0.02,21,2,2581,246.61,0,0.03,39,3,4983,6,5,4,3,2,1, -   ,0,0,0.02,0.01,0,0.11,0.02,0,0.06,0.08,0.01,0.06,0.03,0.13,0.04,0.09,0,0.06,0.18,0.08,0.02
10138898119,3. Every Three Week Shoppers,1,39,75000,M,10014,NY-NJ,Manhattan,1/24/2012 0:00,0,12,5.00,13,1,2587,0,12,5,12,1,2587,4,4,2,1, -   , -   ,1,0,0,0,0,0,0.44,0,0,0.03,0.04,0,0.02,0.02,0.02,0.02,0.05,0,0,0.1,0.01,0.24
10756451,3. Every Three Week Shoppers,1,49,75000,F,10038,NY-NJ,Manhattan,1/13/2003 0:00,0,14,47.01,16,8,2591,0,26,57.03,26,12,5070,3,1, -   ,2,1,5,2,0.03,0,0,0,0,0.08,0.04,0,0.12,0.03,0,0,0,0,0.35,0.09,0,0.07,0.03,0.06,0.09
1234682999,3. Every Three Week Shoppers,0,44,200000,M,10026,NY-NJ,Manhattan,9/23/2006 0:00,102.84,0,33.02,22,6,2592,114.82,2,33.02,22,6,3343,14,1, -   ,2,2,2,1,0,0,0,0,0,0.17,0,0,0.07,0.06,0,0.03,0.06,0,0.05,0.04,0.01,0.06,0.34,0.03,0.08
128270921,3. Every Three Week Shoppers,1,64,20000,F,10010,NY-NJ,Manhattan,8/14/2004 0:00,69.89,0,0.01,12,2,2607,105.83,9,0.02,26,4,5661, -   ,3,3,1,4, -   , -   ,0.1,0.02,0.03,0,0,0.11,0.02,0,0.08,0.05,0.01,0.06,0.04,0.11,0.04,0.06,0,0.04,0.15,0.01,0.06
11479975,3. Every Three Week Shoppers,0,35,150000,F,11211,NY-NJ,Brooklyn,1/27/2007 0:00,126.81,0,13.89,20,4,2613,228.64,0,19.9,37,7,4911,11,4,2, -   ,1,2, -   ,0,0,0.01,0,0,0.15,0.08,0.01,0.05,0.12,0.01,0.07,0.03,0,0.02,0.13,0,0.03,0.26,0,0.05
11664023269,3. Every Three Week Shoppers,1,63,40000,F,10005,NY-NJ,Manhattan,8/26/2012 0:00,43.93,21,5.01,29,2,2617,43.93,70,40.04,77,9,7153,5,19,1, -   , -   ,2,1,0,0,0,0,0,0.16,0.11,0,0.01,0.11,0,0.03,0.03,0.06,0.07,0.03,0,0.09,0.17,0.09,0.05
1268239092,3. Every Three Week Shoppers,0,61,175000,M,10011,NY-NJ,Manhattan,12/10/2011 0:00,0,20,7.59,21,2,2620,0,39,10.8,39,6,4858,8,6, -   ,4, -   , -   ,2,0,0,0.01,0.01,0,0.12,0.11,0,0.06,0.14,0.01,0.09,0.05,0,0.04,0.06,0,0.03,0.12,0.09,0.05
10070657,3. Every Three Week Shoppers,0,48,75000,F,10010,NY-NJ,Manhattan,11/24/2002 0:00,32.95,0,127.83,20,17,2626,32.95,12,200.76,40,30,5337,7,1,3,1,1,4,3,0,0,0.02,0.05,0,0.15,0.06,0,0.02,0.05,0,0.01,0.11,0,0.12,0,0,0.08,0.25,0.04,0.04
11387836899,3. Every Three Week Shoppers,0,37,75000,F,10024,NY-NJ,Manhattan,7/9/2012 0:00,6.99,22,0.03,24,2,2627,12.98,39,0.07,41,6,4216,3,7,7,3,2, -   ,2,0.04,0.01,0.01,0.06,0,0.22,0.06,0,0.07,0.1,0,0.06,0.12,0,0.02,0.02,0,0.03,0.13,0,0.07
1184868020,3. Every Three Week Shoppers,1,42,-1,F,11217,NY-NJ,Brooklyn,12/9/2008 0:00,0,19,5.02,20,3,2635,0,48,10.25,48,10,6772,1,2,6,3,1,2,4,0,0,0.03,0,0,0.1,0.11,0,0.08,0.07,0.01,0,0,0,0,0.05,0,0.01,0.35,0.1,0.07
11297304967,3. Every Three Week Shoppers,1,72,150000,M,11201,NY-NJ,Brooklyn,7/3/2012 0:00,0,33,2.04,35,5,2652,3.99,87,6.11,89,14,6216,3,4,7,7,4,6,2,0,0,0,0.07,0,0.28,0.06,0,0.12,0.15,0,0.02,0.16,0,0,0.01,0,0,0.07,0,0.06
1025938591,3. Every Three Week Shoppers,1,44,300000,F,10024,NY-NJ,Manhattan,4/7/2006 0:00,162.76,0,0.03,24,3,2654,282.56,0,2.03,44,4,4471,1,10,10,2,1, -   , -   ,0,0,0.02,0.03,0,0.12,0.07,0,0.26,0.08,0,0.01,0.07,0,0.02,0.03,0,0.05,0.18,0.03,0.02
1157214285,3. Every Three Week Shoppers,1,46,100000,M,10013,NY-NJ,Manhattan,6/6/2006 0:00,114.83,0,0.03,17,2,2656,120.82,0,0.03,18,3,2722,4,2,5,3,1,2, -   ,0,0,0.03,0.02,0,0.13,0.02,0,0.04,0.2,0.04,0.08,0.13,0,0.01,0.03,0,0.01,0.15,0,0.12
1256454735,3. Every Three Week Shoppers,1,46,175000,F,10014,NY-NJ,Manhattan,8/28/2006 0:00,66.9,0,56.93,18,9,2661,108.83,0,115.08,31,18,4979,2,4,2,4,5,1, -   ,0.02,0,0.01,0.02,0,0.09,0.07,0,0.13,0.02,0,0.05,0.24,0,0.14,0.07,0,0,0.12,0,0.03
11293418923,3. Every Three Week Shoppers,0,35,45000,M,11238,NY-NJ,Brooklyn,8/4/2014 0:00,0,28,23.00,30,4,2691,0,41,27.01,41,7,3978,20,4,1, -   , -   ,1,2,0,0,0,0.01,0,0.11,0.01,0,0.01,0.09,0,0.06,0.18,0.05,0.05,0.02,0.19,0.04,0.15,0,0.02
