ons_code,signature_count
E14000898,7
E14000899,11
E14000900,8
E14000901,18
E14000902,13
E14000903,3
E14000904,8
E14000905,13
E14000906,9
E14000907,24
E14000908,27
E14000909,11
E14000910,18
E14000911,16
E14000912,25
E14000913,7
E14000914,5
E14000915,5
E14000916,20
E14000917,11
E14000918,20
E14000919,23
E14000920,2
E14000921,7
E14000922,21
E14000923,9
E14000924,10
E14000925,15
E14000926,19
E14000927,13
E14000928,23
E14000929,11
E14000930,8
E14000931,13
E14000932,43
N06000014,4
E14000933,3
E14000934,47
E14000935,13
E14000936,21
N06000015,2
E14000937,45
E14000938,25
E14000939,9
E14000940,7
E14000941,28
E14000942,22
E14000943,7
E14000944,4
E14000945,6
E14000946,15
E14000947,21
E14000948,29
E14000949,17
E14000950,20
E14000951,17
E14000952,14
E14000953,28
E14000954,25
E14000955,11
E14000956,16
E14000957,16
E14000958,18
E14000959,16
E14000960,38
E14000961,15
E14000962,9
E14000963,5
E14000964,28
E14000965,17
E14000966,16
E14000967,11
E14000968,12
E14000969,13
E14000970,10
E14000971,7
E14000972,4
E14000973,4
E14000974,7
E14000975,16
E14000976,13
N06000016,2
E14000977,25
E14000978,37
E14000979,21
E14000980,34
E14000981,24
E14000982,10
E14000983,20
E14000984,10
E14000985,12
W07000048,8
W07000047,14
E14000986,2
E14000987,19
E14000988,23
E14000989,10
E14000990,13
E14000991,23
E14000992,7
E14000993,12
E14000994,26
E14000995,5
E14000996,31
E14000997,14
E14000998,25
E14000999,20
W07000053,6
E14001000,23
E14001001,37
E14001002,22
E14001003,39
E14001004,28
E14001005,41
E14001006,21
N06000017,6
E14001007,7
W07000060,18
W07000078,14
E14001008,41
E14001009,10
E14001010,13
E14001011,4
E14001012,4
E14001013,24
E14001014,5
E14001015,40
E14001016,7
E14001017,4
E14001018,8
E14001019,33
E14001020,5
E14001021,18
E14001022,14
E14001023,13
E14001024,11
E14001025,18
E14001026,38
E14001027,19
E14001028,4
E14001029,3
E14001030,3
E14001031,16
E14001032,14
E14001033,18
E14001034,18
E14001035,32
E14001036,31
E14001037,24
E14001038,18
E14001039,8
E14001040,25
E14001041,35
E14001042,24
E14001043,9
E14001044,11
E14001045,7
E14001046,37
E14001047,16
E14001048,30
E14001049,5
E14001050,4
E14001051,8
E14001052,13
E14001053,6
E14001054,14
E14001055,16
W07000044,6
E14001056,19
E14001057,11
E14001058,11
E14001059,11
E14001060,15
W07000041,17
E14001061,28
E14001062,22
S14000009,4
S14000004,9
S14000010,5
S14000005,13
S14000011,4
S14000012,6
S14000013,10
S14000014,7
S14000015,12
S14000016,6
S14000017,9
S14000018,6
S14000019,4
S14000006,4
S14000020,13
S14000021,3
