ons_code,signature_count
S14000022,19563
S14000023,28081
S14000024,20615
S14000025,17869
S14000026,15227
S14000007,4043
S14000028,9070
S14000029,14620
S14000030,5189
S14000031,15149
S14000032,6157
S14000033,10971
S14000034,13722
S14000035,6190
S14000036,4715
S14000037,9406
S14000001,9344
S14000038,6274
S14000039,10623
S14000040,6594
S14000041,7454
S14000042,7970
S14000043,10250
S14000044,9691
S14000045,9543
S14000002,11093
S14000046,6478
S14000047,5816
S14000027,2423
S14000048,6904
S14000049,10639
S14000008,8377
S14000050,10127
S14000051,4622
S14000052,8807
S14000053,7809
S14000054,9877
S14000055,9135
S14000056,8830
S14000057,12678
S14000058,10862
S14000059,6846
W07000049,3059
W07000058,4749
E14000530,7570
E14000531,3025
E14000532,13353
W07000043,5454
E14000533,4129
W07000057,7164
E14000534,12824
E14000535,3446
E14000536,9102
E14000537,3982
E14000538,10129
E14000539,12351
E14000540,5671
E14000541,3141
E14000542,2465
E14000543,4748
E14000544,5162
E14000545,9702
E14000546,4123
E14000547,18503
E14000548,4211
E14000549,24744
E14000550,11808
E14000551,12185
E14000552,7924
N06000001,7621
N06000002,6924
N06000003,16029
N06000004,5864
E14000553,25345
E14000554,5369
E14000555,24685
E14000556,6144
E14000557,9105
E14000558,5287
E14000559,6032
E14000560,8630
E14000561,3596
E14000562,9318
E14000563,2626
E14000564,7244
E14000565,5283
E14000566,3392
E14000567,10256
E14000568,3870
E14000569,3963
E14000570,3207
E14000571,5603
E14000572,3231
E14000573,2674
W07000072,2264
E14000574,5947
E14000575,3975
E14000576,6224
E14000577,3522
E14000578,4269
E14000579,3148
E14000580,5695
E14000581,6949
E14000582,2746
E14000583,6449
E14000584,10348
E14000585,8669
E14000586,9905
E14000587,3421
E14000588,3027
E14000589,3644
E14000590,6197
W07000068,6221
E14000591,13347
E14000592,8579
E14000593,19838
E14000594,7243
W07000073,5555
E14000595,6847
E14000596,3440
E14000597,15157
E14000598,29256
E14000599,12778
E14000600,15445
E14000601,15997
E14000602,37215
E14000603,7830
E14000604,11097
E14000605,7717
E14000606,5595
E14000607,9804
E14000608,12652
E14000609,2770
E14000610,4966
E14000611,5906
E14000612,7398
E14000613,9795
W07000076,4896
E14000614,10335
E14000615,22542
E14000616,7137
E14000617,28185
E14000618,3197
E14000619,14829
W07000050,11996
W07000051,11962
W07000080,11642
W07000079,11695
E14000620,4351
W07000067,5246
W07000066,5138
E14000621,8782
E14000622,3231
E14000623,11841
E14000624,8491
W07000064,8128
E14000625,6532
E14000626,4720
E14000627,11130
E14000628,9894
E14000629,20814
E14000630,14425
E14000631,13543
E14000632,5297
E14000633,12443
E14000634,9590
E14000635,11132
E14000636,16690
E14000637,6684
E14000638,6611
E14000639,25155
E14000640,11620
E14000641,8652
E14000642,2813
E14000643,3318
W07000062,4190
W07000059,5527
E14000644,10050
E14000645,9095
E14000646,8178
E14000647,4391
E14000648,7341
E14000649,5091
E14000650,6617
E14000651,8221
E14000652,6998
E14000653,7040
E14000654,10089
E14000655,12411
E14000656,12446
W07000070,2740
E14000657,3850
E14000658,5063
E14000659,6294
E14000660,8247
W07000042,4766
E14000661,4674
E14000662,7481
E14000663,4785
E14000664,9201
E14000665,8530
E14000666,5408
E14000667,3422
E14000668,4030
E14000669,2719
E14000670,6528
E14000671,2165
E14000672,2543
E14000673,26572
W07000061,4946
E14000674,23914
E14000675,10479
E14000676,8656
E14000677,2230
N06000005,5278
E14000678,11313
E14000679,7771
E14000680,11888
N06000006,5196
E14000681,11288
E14000682,10871
E14000683,5347
E14000684,9280
E14000685,9078
E14000686,7554
E14000687,5312
E14000688,6180
E14000689,7943
E14000690,10141
E14000691,7561
E14000692,13800
E14000693,7866
E14000694,13346
E14000695,5397
E14000696,5643
E14000697,17811
E14000698,14584
E14000699,8231
E14000700,8049
E14000701,6600
N06000007,6355
E14000702,10747
E14000703,20236
E14000704,8760
E14000705,6959
N06000008,11021
E14000706,5788
E14000707,5402
E14000708,8341
E14000709,6052
E14000710,7636
E14000711,5063
E14000712,7161
E14000713,5259
W07000046,6952
E14000714,7298
E14000715,5205
E14000716,2448
E14000717,3348
E14000718,19493
E14000719,16596
E14000720,28017
E14000721,26899
E14000722,3821
E14000723,4542
E14000724,6118
E14000725,5089
E14000726,22520
E14000727,29154
E14000728,8583
E14000729,4624
E14000730,11529
E14000731,7496
E14000732,9788
E14000733,2795
E14000734,7672
E14000735,10491
E14000736,5847
E14000737,5412
E14000738,7579
E14000739,9102
E14000740,3699
E14000741,11829
E14000742,15184
E14000743,7388
E14000744,13263
E14000745,9848
E14000746,8666
E14000747,4671
E14000748,9971
E14000749,16696
E14000750,28387
E14000751,5750
E14000752,32218
E14000753,12770
E14000754,3146
E14000755,22920
E14000756,5297
E14000757,10599
E14000758,3169
E14000759,8015
E14000760,6675
E14000761,8005
E14000762,10277
E14000763,27157
E14000764,23770
W07000077,3277
E14000765,4110
E14000766,7459
E14000767,10651
E14000768,21722
E14000769,5997
E14000770,18586
E14000771,2362
E14000772,4809
E14000773,3374
E14000774,7146
E14000775,5442
N06000009,7403
E14000776,8213
E14000777,10090
E14000778,3984
E14000779,13437
E14000780,11703
E14000781,7872
E14000782,3837
E14000783,8574
E14000784,5401
E14000785,4429
