ons_code,signature_count
E14000896,31
E14000897,37
E14000898,44
E14000899,29
E14000900,32
E14000901,28
E14000902,23
E14000903,37
E14000904,25
E14000905,39
E14000906,23
E14000907,22
E14000908,24
E14000909,38
E14000910,39
E14000911,27
E14000912,41
E14000913,42
E14000914,24
E14000915,31
E14000916,25
E14000917,36
E14000918,28
E14000919,17
E14000920,28
E14000921,15
E14000922,17
E14000923,28
E14000924,48
E14000925,22
E14000926,25
E14000927,40
E14000928,42
E14000929,40
E14000930,8
E14000931,27
E14000932,42
N06000014,22
E14000933,52
E14000934,36
E14000935,33
E14000936,47
N06000015,7
E14000937,24
E14000938,46
E14000939,51
E14000940,34
E14000941,30
E14000942,43
E14000943,31
E14000944,26
E14000945,31
E14000946,39
E14000947,35
E14000948,54
E14000949,43
E14000950,31
E14000951,35
E14000952,57
E14000953,40
E14000954,55
E14000955,37
E14000956,43
E14000957,31
E14000958,31
E14000959,36
E14000960,32
E14000961,52
E14000962,33
E14000963,35
E14000964,40
E14000965,37
E14000966,40
E14000967,24
E14000968,24
E14000969,19
E14000970,32
E14000971,44
E14000972,16
E14000973,23
E14000974,25
E14000975,29
E14000976,22
N06000016,22
E14000977,28
E14000978,5
E14000979,25
E14000980,33
E14000981,46
E14000982,30
E14000983,44
E14000984,19
E14000985,34
W07000048,23
W07000047,30
E14000986,32
E14000987,33
E14000988,39
E14000989,28
E14000990,31
E14000991,34
E14000992,31
E14000993,44
E14000994,20
E14000995,46
E14000996,39
E14000997,35
E14000998,22
E14000999,37
W07000053,21
E14001000,54
E14001001,30
E14001002,4
E14001003,39
E14001004,22
E14001005,22
E14001006,39
N06000017,20
E14001007,30
W07000060,24
W07000078,35
E14001008,17
E14001009,27
E14001010,29
E14001011,26
E14001012,24
E14001013,11
E14001014,30
E14001015,40
E14001016,7
E14001017,27
E14001018,26
E14001019,22
E14001020,33
E14001021,31
E14001022,42
E14001023,30
E14001024,33
E14001025,36
E14001026,41
E14001027,25
E14001028,46
E14001029,18
E14001030,16
E14001031,42
E14001032,13
E14001033,29
E14001034,45
N06000018,7
E14001035,28
E14001036,15
E14001037,20
E14001038,48
E14001039,45
E14001040,14
E14001041,20
E14001042,29
E14001043,20
E14001044,21
E14001045,23
E14001046,37
E14001047,36
E14001048,23
E14001049,20
E14001050,15
E14001051,12
E14001052,25
E14001053,29
E14001054,29
E14001055,35
W07000044,15
E14001056,24
E14001057,23
E14001058,45
E14001059,31
E14001060,54
W07000041,28
E14001061,16
E14001062,25
S14000009,17
S14000004,16
S14000010,13
S14000005,31
S14000011,6
S14000012,13
S14000013,25
S14000014,19
S14000015,17
S14000016,8
S14000017,19
S14000018,10
S14000019,14
S14000006,13
S14000020,14
S14000021,6
