ons_code,signature_count
E14000896,586
E14000897,69
E14000898,108
E14000899,120
E14000900,86
E14000901,228
E14000902,105
E14000903,50
E14000904,47
E14000905,125
E14000906,189
E14000907,242
E14000908,269
E14000909,159
E14000910,237
E14000911,166
E14000912,236
E14000913,91
E14000914,43
E14000915,73
E14000916,114
E14000917,125
E14000918,205
E14000919,334
E14000920,60
E14000921,106
E14000922,335
E14000923,140
E14000924,88
E14000925,168
E14000926,225
E14000927,80
E14000928,230
E14000929,154
E14000930,63
E14000931,95
E14000932,350
N06000014,35
E14000933,70
E14000934,521
E14000935,107
E14000936,165
N06000015,50
E14000937,528
E14000938,177
E14000939,82
E14000940,120
E14000941,222
E14000942,200
E14000943,100
E14000944,60
E14000945,73
E14000946,201
E14000947,177
E14000948,193
E14000949,171
E14000950,141
E14000951,241
E14000952,91
E14000953,327
E14000954,169
E14000955,160
E14000956,208
E14000957,128
E14000958,130
E14000959,151
E14000960,418
E14000961,130
E14000962,74
E14000963,79
E14000964,253
E14000965,107
E14000966,91
E14000967,103
E14000968,123
E14000969,170
E14000970,48
E14000971,84
E14000972,61
E14000973,56
E14000974,46
E14000975,87
E14000976,80
N06000016,40
E14000977,222
E14000978,442
E14000979,182
E14000980,322
E14000981,407
E14000982,93
E14000983,196
E14000984,174
E14000985,108
W07000048,56
W07000047,181
E14000986,65
E14000987,167
E14000988,257
E14000989,88
E14000990,151
E14000991,252
E14000992,113
E14000993,134
E14000994,148
E14000995,62
E14000996,187
E14000997,215
E14000998,327
E14000999,105
W07000053,71
E14001000,195
E14001001,311
E14001002,292
E14001003,287
E14001004,288
E14001005,520
E14001006,218
N06000017,44
E14001007,118
W07000060,67
W07000078,143
E14001008,502
E14001009,82
E14001010,154
E14001011,27
E14001012,53
E14001013,433
E14001014,84
E14001015,377
E14001016,72
E14001017,85
E14001018,138
E14001019,310
E14001020,75
E14001021,185
E14001022,113
E14001023,240
E14001024,135
E14001025,115
E14001026,262
E14001027,142
E14001028,46
E14001029,25
E14001030,35
E14001031,296
E14001032,226
E14001033,117
E14001034,181
N06000018,24
E14001035,240
E14001036,343
E14001037,194
E14001038,138
E14001039,71
E14001040,417
E14001041,377
E14001042,222
E14001043,96
E14001044,126
E14001045,120
E14001046,327
E14001047,282
E14001048,263
E14001049,25
E14001050,19
E14001051,61
E14001052,181
E14001053,86
E14001054,99
E14001055,193
W07000044,59
E14001056,179
E14001057,85
E14001058,118
E14001059,167
E14001060,144
W07000041,137
E14001061,324
E14001062,220
S14000009,82
S14000004,81
S14000010,53
S14000005,187
S14000011,47
S14000012,74
S14000013,111
S14000014,144
S14000015,85
S14000016,115
S14000017,121
S14000018,135
S14000019,89
S14000006,78
S14000020,148
S14000021,117
