ons_code,signature_count
E14000896,46
E14000897,50
E14000898,86
E14000899,86
E14000900,64
E14000901,48
E14000902,57
E14000903,60
E14000904,39
E14000905,77
E14000906,36
E14000907,88
E14000908,67
E14000909,93
E14000910,56
E14000911,58
E14000912,73
E14000913,101
E14000914,56
E14000915,61
E14000916,60
E14000917,71
E14000918,52
E14000919,18
E14000920,54
E14000921,52
E14000922,36
E14000923,48
E14000924,85
E14000925,47
E14000926,77
E14000927,90
E14000928,56
E14000929,105
E14000930,23
E14000931,70
E14000932,79
N06000014,31
E14000933,72
E14000934,75
E14000935,63
E14000936,82
N06000015,10
E14000937,50
E14000938,99
E14000939,102
E14000940,51
E14000941,79
E14000942,76
E14000943,80
E14000944,66
E14000945,63
E14000946,80
E14000947,81
E14000948,77
E14000949,63
E14000950,56
E14000951,53
E14000952,94
E14000953,60
E14000954,84
E14000955,55
E14000956,62
E14000957,69
E14000958,76
E14000959,64
E14000960,48
E14000961,96
E14000962,54
E14000963,66
E14000964,81
E14000965,69
E14000966,63
E14000967,71
E14000968,44
E14000969,41
E14000970,72
E14000971,64
E14000972,44
E14000973,57
E14000974,58
E14000975,60
E14000976,52
N06000016,29
E14000977,45
E14000978,22
E14000979,49
E14000980,69
E14000981,71
E14000982,60
E14000983,71
E14000984,35
E14000985,65
W07000048,40
W07000047,39
E14000986,72
E14000987,61
E14000988,75
E14000989,70
E14000990,62
E14000991,70
E14000992,57
E14000993,85
E14000994,54
E14000995,74
E14000996,68
E14000997,74
E14000998,20
E14000999,97
W07000053,42
E14001000,87
E14001001,83
E14001002,18
E14001003,80
E14001004,57
E14001005,43
E14001006,55
N06000017,28
E14001007,50
W07000060,45
W07000078,42
E14001008,19
E14001009,58
E14001010,46
E14001011,49
E14001012,43
E14001013,19
E14001014,63
E14001015,65
E14001016,20
E14001017,64
E14001018,62
E14001019,38
E14001020,70
E14001021,51
E14001022,80
E14001023,79
E14001024,58
E14001025,50
E14001026,75
E14001027,59
E14001028,70
E14001029,33
E14001030,40
E14001031,94
E14001032,27
E14001033,66
E14001034,66
N06000018,13
E14001035,72
E14001036,32
E14001037,44
E14001038,97
E14001039,77
E14001040,42
E14001041,59
E14001042,50
E14001043,51
E14001044,43
E14001045,58
E14001046,67
E14001047,67
E14001048,60
E14001049,43
E14001050,32
E14001051,32
E14001052,49
E14001053,49
E14001054,62
E14001055,80
W07000044,33
E14001056,45
E14001057,69
E14001058,94
E14001059,62
E14001060,90
W07000041,58
E14001061,46
E14001062,72
S14000009,30
S14000004,26
S14000010,38
S14000005,41
S14000011,19
S14000012,17
S14000013,39
S14000014,35
S14000015,30
S14000016,20
S14000017,33
S14000018,17
S14000019,20
S14000006,29
S14000020,33
S14000021,20
