ons_code,signature_count
S14000022,31
S14000023,21
S14000024,32
S14000025,43
S14000026,39
S14000007,99
S14000028,70
S14000029,34
S14000030,40
S14000031,29
S14000032,45
S14000033,31
S14000034,28
S14000035,37
S14000036,50
S14000037,62
S14000001,65
S14000038,51
S14000039,64
S14000040,54
S14000041,58
S14000042,44
S14000043,79
S14000044,58
S14000045,48
S14000002,53
S14000046,101
S14000047,50
S14000027,13
S14000048,61
S14000049,52
S14000008,89
S14000050,66
S14000051,44
S14000052,49
S14000053,41
S14000054,64
S14000055,53
S14000056,45
S14000057,38
S14000058,45
S14000059,46
W07000049,79
W07000058,87
E14000530,169
E14000531,114
E14000532,87
W07000043,120
E14000533,136
W07000057,43
E14000534,137
E14000535,202
E14000536,217
E14000537,149
E14000538,143
E14000539,184
E14000540,93
E14000541,134
E14000542,180
E14000543,158
E14000544,175
E14000545,167
E14000546,195
E14000547,67
E14000548,147
E14000549,50
E14000550,127
E14000551,116
E14000552,102
N06000001,93
N06000002,81
N06000003,45
N06000004,23
E14000553,76
E14000554,143
E14000555,52
E14000556,208
E14000557,179
E14000558,147
E14000559,100
E14000560,81
E14000561,93
E14000562,38
E14000563,86
E14000564,50
E14000565,144
E14000566,68
E14000567,94
E14000568,125
E14000569,152
E14000570,89
E14000571,99
E14000572,167
E14000573,160
W07000072,73
E14000574,173
E14000575,168
E14000576,212
E14000577,180
E14000578,129
E14000579,109
E14000580,145
E14000581,79
E14000582,225
E14000583,208
E14000584,154
E14000585,165
E14000586,180
E14000587,106
E14000588,122
E14000589,55
E14000590,169
W07000068,102
E14000591,20
E14000592,32
E14000593,80
E14000594,146
W07000073,77
E14000595,199
E14000596,181
E14000597,120
E14000598,78
E14000599,120
E14000600,81
E14000601,129
E14000602,57
E14000603,132
E14000604,124
E14000605,128
E14000606,161
E14000607,147
E14000608,141
E14000609,150
E14000610,129
E14000611,149
E14000612,139
E14000613,169
W07000076,124
E14000614,172
E14000615,37
E14000616,162
E14000617,58
E14000618,178
E14000619,136
W07000050,49
W07000051,73
W07000080,83
W07000079,82
E14000620,151
W07000067,108
W07000066,106
E14000621,120
E14000622,192
E14000623,144
E14000624,145
W07000064,86
E14000625,145
E14000626,170
E14000627,94
E14000628,138
E14000629,50
E14000630,95
E14000631,72
E14000632,156
E14000633,208
E14000634,122
E14000635,150
E14000636,72
E14000637,143
E14000638,164
E14000639,71
E14000640,99
E14000641,124
E14000642,252
E14000643,214
W07000062,101
W07000059,100
E14000644,127
E14000645,130
E14000646,150
E14000647,159
E14000648,164
E14000649,105
E14000650,114
E14000651,94
E14000652,157
E14000653,172
E14000654,105
E14000655,49
E14000656,126
W07000070,81
E14000657,129
E14000658,142
E14000659,150
E14000660,194
W07000042,123
E14000661,143
E14000662,124
E14000663,111
E14000664,123
E14000665,144
E14000666,183
E14000667,172
E14000668,160
E14000669,209
E14000670,248
E14000671,111
E14000672,132
E14000673,36
W07000061,60
E14000674,41
E14000675,61
E14000676,28
E14000677,163
N06000005,105
E14000678,138
E14000679,39
E14000680,106
N06000006,56
E14000681,175
E14000682,136
E14000683,228
E14000684,198
E14000685,142
E14000686,129
E14000687,44
E14000688,129
E14000689,176
E14000690,119
E14000691,84
E14000692,64
E14000693,127
E14000694,101
E14000695,170
E14000696,123
E14000697,86
E14000698,127
E14000699,185
E14000700,131
E14000701,91
N06000007,40
E14000702,102
E14000703,52
E14000704,246
E14000705,128
N06000008,17
E14000706,130
E14000707,209
E14000708,95
E14000709,128
E14000710,152
E14000711,213
E14000712,168
E14000713,239
W07000046,78
E14000714,192
E14000715,189
E14000716,160
E14000717,210
E14000718,71
E14000719,91
E14000720,23
E14000721,40
E14000722,138
E14000723,162
E14000724,130
E14000725,137
E14000726,57
E14000727,39
E14000728,127
E14000729,188
E14000730,122
E14000731,45
E14000732,40
E14000733,171
E14000734,193
E14000735,213
E14000736,188
E14000737,87
E14000738,106
E14000739,125
E14000740,182
E14000741,57
E14000742,104
E14000743,151
E14000744,144
E14000745,120
E14000746,111
E14000747,157
E14000748,136
E14000749,81
E14000750,72
E14000751,187
E14000752,43
E14000753,144
E14000754,188
E14000755,83
E14000756,90
E14000757,171
E14000758,150
E14000759,92
E14000760,33
E14000761,135
E14000762,306
E14000763,32
E14000764,70
W07000077,99
E14000765,154
E14000766,147
E14000767,127
E14000768,47
E14000769,150
E14000770,90
E14000771,145
E14000772,136
E14000773,127
E14000774,109
E14000775,92
N06000009,91
E14000776,142
E14000777,147
E14000778,152
E14000779,45
E14000780,93
E14000781,139
E14000782,56
E14000783,60
E14000784,114
E14000785,182
E14000786,131
E14000787,64
E14000788,83
E14000789,56
E14000790,58
E14000791,148
E14000792,156
E14000793,62
E14000794,81
E14000795,66
E14000796,65
W07000045,118
E14000797,176
E14000798,268
E14000799,155
E14000800,84
E14000801,73
E14000802,121
E14000803,87
E14000804,173
E14000805,171
E14000806,202
E14000807,66
E14000808,53
E14000809,60
E14000810,203
S14000003,43
E14000811,165
E14000812,166
W07000071,66
E14000813,156
E14000814,138
E14000815,137
E14000816,181
